codeleccion,deseleccion,coddepartamento,desdepartamento,coddistrito,desdistrito,codzona,deszona,codlocal,deslocal,mesa,tipo,id_credencial
231,PARTIDO CRUZADA NACIONAL,6,6-CAAZAPA,0,0-CAAZAPA,0,0-CAAZAPA,1,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,NORMAL,39939947
231,PARTIDO CRUZADA NACIONAL,6,6-CAAZAPA,13,13-SAN JUAN NEPOMUCENO,0,0-SAN JUAN NEPOMUCENO,1,1-COLEGIO JULIA ACOSTA DE GONZALEZ,1,NORMAL,52834544
231,PARTIDO CRUZADA NACIONAL,7,7-ITAPUA,0,0-ENCARNACION ,0,0-ENCARNACION ,1,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,NORMAL,46640782
231,PARTIDO CRUZADA NACIONAL,8,8-MISIONES,0,0-SAN JUAN BAUTISTA,0,0-SAN JUAN BAUTISTA,1,1-COL. PEDRO P. PEÑA NRO. 237,1,NORMAL,60727680
231,PARTIDO CRUZADA NACIONAL,8,8-MISIONES,3,3-SAN IGNACIO,0,0-SAN IGNACIO,1,1-ESC. BAS N°392 SANTO ANGEL  ,1,NORMAL,63335313
231,PARTIDO CRUZADA NACIONAL,9,9-PARAGUARI,0,0-PARAGUARI,0,0-PARAGUARI,1,1-TINGLADO MUNICIPAL,1,NORMAL,42902185
231,PARTIDO CRUZADA NACIONAL,9,9-PARAGUARI,5,5-CARAPEGUA,0,0-CARAPEGUA,1,1-ESC MODELO GRAL DIAZ,1,NORMAL,11391744
231,PARTIDO CRUZADA NACIONAL,9,9-PARAGUARI,13,13-MBUYAPEY,0,0-MBUYAPEY,1,1-REGISTRO ELECTORAL DE MBUYAPEY,1,NORMAL,29793294
231,PARTIDO CRUZADA NACIONAL,10,10-ALTO PARANA,0,0-CIUDAD DEL ESTE,0,0-CIUDAD DEL ESTE,1,1-COL. ATANACIO RIERA AREA 1,1,NORMAL,96928609
231,PARTIDO CRUZADA NACIONAL,10,10-ALTO PARANA,1,1-DR. J. L. MALLORQUIN,0,0-DR. J. L.  MALLORQUIN,1,1-POLIDEPORTIVO MUNICIPLAL,1,NORMAL,73836530
231,PARTIDO CRUZADA NACIONAL,10,10-ALTO PARANA,5,5-HERNANDARIAS,0,0-HERNANDARIAS,1,1-ESC 855 SAN ANTONIO DE PADUA,1,NORMAL,26334320
231,PARTIDO CRUZADA NACIONAL,10,10-ALTO PARANA,9,9-ITAKYRY,0,0-ITAKYRY,1,1-REGISTRO ELECTORAL,1,NORMAL,53384856
231,PARTIDO CRUZADA NACIONAL,10,10-ALTO PARANA,11,11-JUAN E. O'LEARY,0,0-JUAN E. O'LEARY,1,1-ESCUELA LA AMISTAD ,1,NORMAL,74411211
231,PARTIDO CRUZADA NACIONAL,10,10-ALTO PARANA,17,17-MINGA GUAZU,0,0-MINGA GUAZU,1,1-ESC. BELLAS ARTES,1,NORMAL,41894483
231,PARTIDO CRUZADA NACIONAL,10,10-ALTO PARANA,25,25-PRESIDENTE FRANCO,0,0-PRESIDENTE FRANCO,1,1-COL.NACIONAL PARAGUAY BRASIL,1,NORMAL,65791028
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,0,0-AREGUA,0,0-AREGUA,1,1-REGISTRO ELECTORAL DE AREGUA,1,NORMAL,75932155
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,1,1-CAPIATA,0,0-CAPIATA,1,1-COLEGIO POLITECNICO COOPERATIVA CAPIATA ,1,NORMAL,50999316
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,3,3-FERNANDO DE LA MORA,0,0-FERNANDO DE LA MORA,1,1-COLEGIO MEDALLA MILAGROSA ,1,NORMAL,36387533
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,5,5-GUARAMBARE,0,0-GUARAMBARE,1,1-REGISTRO ELECTORAL DE GUARAMBARE,1,NORMAL,25312907
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,7,7-ITA,0,0-ITA,1,1-REGISTRO ELECTORAL DE ITA,1,NORMAL,64715959
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,9,9-ITAUGUA,0,0-ITAUGUA,1,1-REGISTRO ELECTORAL  DE ITAUGUA,1,NORMAL,73687958
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,11,11-J. AUGUSTO SALDIVAR,0,0-J. AUGUSTO SALDIVAR,1,1-REGISTRO ELECTORAL J A SALDIVAR,1,NORMAL,14944688
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,13,13-LAMBARE,0,0-LAMBARE,1,1-COLEGIO CHACO PARAGUAYO,1,NORMAL,11659647
231,PARTIDO CRUZADA NACIONAL,11,11-CENTRAL,15,15-LIMPIO,0,0-LIMPIO,1,1-REGISTRO ELECTORAL DE LIMPIO,1,NORMAL,39073495
